"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","Churn","Young","RevenuePerUser"
"0002-ORFBO","Female",0,"Yes","Yes",9,"Yes","Fiber optic","No","Yes","No","Yes","Yes","No","One year","Yes","Mailed check","No",0,73.5
"0003-MKNFE","Male",0,"No","No",9,"Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Mailed check","No",0,71.2
"0004-TLHLJ","Male",0,"No","No",4,"Yes","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check","Yes",0,58.5
"0011-IGKFF","Male",1,"No","No",13,"Yes","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check","Yes",0,82
"0013-EXCHZ","Female",1,"No","No",3,"Yes","DSL","No","No","No","Yes","Yes","No","Month-to-month","Yes","Mailed check","Yes",0,68
"0013-MHZWF","Female",0,"No","Yes",9,"Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Credit card (automatic)","No",0,78
"0013-SMEOE","Female",1,"No","No",71,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)","No",0,90.5
"0014-BMAQU","Male",0,"Yes","No",63,"Yes","DSL","Yes","No","No","Yes","No","No","Two year","Yes","Credit card (automatic)","No",0,63.5
"0015-UOCOJ","Female",1,"No","No",7,"Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check","No",0,58.5
"0016-QLJIS","Female",0,"Yes","Yes",65,"Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Mailed check","No",0,90.5
"0017-DINOC","Male",0,"No","No",54,"No","Fiber optic","Yes","No","No","Yes","Yes","No","Two year","No","Credit card (automatic)","No",0,61.7
"0017-IUDMW","Female",0,"Yes","Yes",72,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)","No",0,90.5
"0018-NYROU","Female",0,"Yes","No",5,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No",0,55
"0019-EFAEP","Female",0,"No","No",72,"Yes","DSL","Yes","Yes","Yes","No","Yes","No","Two year","Yes","Bank transfer (automatic)","No",0,75.5
"0019-GFNTW","Female",0,"No","No",56,"No","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)","No",0,60.7
"0020-INWCK","Female",0,"Yes","Yes",71,"Yes","DSL","No","Yes","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)","No",0,77
"0020-JDNXP","Female",0,"Yes","Yes",34,"No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","One year","No","Mailed check","No",0,80.2
"0021-IKXGC","Female",1,"No","No",1,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","No",0,55
"0022-TCJCI","Male",1,"No","No",45,"Yes","Fiber optic","Yes","No","Yes","No","No","Yes","One year","No","Credit card (automatic)","Yes",0,78.2
"0023-HGHWL","Male",1,"No","No",1,"No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes",0,40
"0023-UYUPN","Female",1,"No","No",50,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check","No",0,23.2
"0023-XUOPT","Female",0,"Yes","No",13,"Yes","DSL","No","Yes","Yes","No","Yes","No","Month-to-month","No","Electronic check","Yes",0,75.2
"0027-KWYKW","Female",0,"Yes","Yes",23,"Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check","No",0,63
"0030-FNXPP","Female",0,"No","No",3,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","No",1,23.2
"0031-PVLZI","Female",0,"Yes","Yes",4,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check","Yes",0,23.2
"0032-PGELS","Female",0,"Yes","Yes",1,"No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)","Yes",0,46.7
"0036-IHMOT","Female",0,"Yes","Yes",55,"Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)","No",0,87
"0040-HALCW","Male",0,"Yes","Yes",54,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)","No",0,23.2
"0042-JVWOJ","Male",0,"No","No",26,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Bank transfer (automatic)","No",1,20
"0042-RLHYP","Female",0,"Yes","Yes",69,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No",0,23.2
"0048-LUMLS","Male",0,"Yes","Yes",37,"Yes","DSL","No","No","No","No","Yes","Yes","One year","No","Credit card (automatic)","No",0,76.2
"0048-PIHNL","Female",0,"Yes","No",49,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Bank transfer (automatic)","No",0,23.2
"0052-DCKON","Male",0,"Yes","No",66,"Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)","No",0,93.7
"0052-YNYOT","Female",0,"No","No",67,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Electronic check","No",1,23.2
"0056-EPFBG","Male",0,"Yes","Yes",20,"No","Fiber optic","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)","No",0,52
"0057-QBUQH","Female",0,"No","Yes",43,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Electronic check","No",0,20
"0058-EVZWM","Female",0,"Yes","No",55,"Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,66.5
"0060-FUALY","Female",0,"Yes","No",59,"Yes","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check","No",0,72
"0064-SUDOG","Female",0,"Yes","Yes",12,"Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)","No",0,23.2
"0064-YIJGF","Male",0,"Yes","Yes",27,"Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)","No",0,55
"0067-DKWBL","Male",1,"No","No",2,"Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check","Yes",0,58.5
"0068-FIGTF","Female",0,"No","No",27,"Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","No","Mailed check","No",0,90.2
