gender,SeniorCitizen,Partner,Dependents,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Young,tenure,RevenuePerUser,TotalRevenue,Churn,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,InternetService_No
0,0,1,1,1,0,1,0,1,1,0,1,0,-0.9514600968519201,0.5776101601028397,-0.7323916946172385,0,0,0,0,1,0,1,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,0,-0.9514600968519201,0.47553257042198893,-0.7429057736035491,0,0,0,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,0,0,1,0,-1.1550556592333006,-0.08811325085923134,-0.9495302823780025,1,0,0,1,0,1,0,0,1,0,0
1,1,0,0,1,0,1,1,0,1,1,1,0,-0.7885836469468158,0.95485342631468,-0.5269354168412642,1,0,0,1,0,1,0,0,1,0,0
0,1,0,0,1,0,0,0,1,1,0,1,0,-1.1957747717095766,0.33351157608341364,-0.9647680780103368,1,0,0,0,1,1,0,0,1,0,0
0,0,0,1,1,0,0,0,1,1,1,1,0,-0.9514600968519201,0.777327183391461,-0.7118206705135872,0,0,1,0,0,1,0,0,0,1,0
0,1,0,0,1,1,1,1,1,1,1,1,0,1.5731248766771968,1.3320966925265203,2.195296772875261,0,1,0,0,0,0,0,1,1,0,0
1,0,1,0,1,1,0,0,1,0,0,1,0,1.2473719768669882,0.13379455279479233,0.9635749592615707,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,1,1,0,0,0,0,0,1,0,-1.0328983218044723,-0.08811325085923134,-0.8603891779288468,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,1,1,1,1,1,1,1,1,0,1.3288102018195405,1.3320966925265203,1.91949267193001,0,0,0,0,1,0,0,1,0,1,0
1,0,0,0,0,1,0,0,1,1,0,0,0,0.8808999645805035,0.053907743479343934,0.6239244946168389,0,0,1,0,0,0,0,1,0,1,0
0,0,1,1,1,1,1,1,1,1,1,1,0,1.613843989153473,1.3320966925265203,2.2412641230328028,0,0,1,0,0,0,0,1,1,0,0
0,0,1,0,1,0,0,0,0,0,0,1,0,-1.1143365467570243,-0.2434487134170479,-0.9287052950138123,0,0,0,1,0,1,0,0,1,0,0
0,0,0,0,1,1,1,1,0,1,0,1,0,1.613843989153473,0.6663732815644492,1.6927034802687675,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,0,1,1,1,1,0,0,0,0,0.9623381895330556,0.0095261827485392,0.6581587421374834,0,1,0,0,0,0,0,1,0,1,0
0,0,1,1,1,0,1,1,0,0,1,1,0,1.5731248766771968,0.7329456226606562,1.7084492024221798,0,0,1,0,0,0,0,1,1,0,0
